Index,Competition,URL
0,The MedGemma Impact Challenge,https://compsearch.dev/search?url=med-gemma-impact-challenge
1,Vesuvius Challenge - Surface Detection,https://compsearch.dev/search?url=vesuvius-challenge-surface-detection
2,CAFA 6 Protein Function Prediction,https://compsearch.dev/search?url=cafa-6-protein-function-prediction
3,Santa 2025 - Christmas Tree Packing Challenge,https://compsearch.dev/search?url=santa-2025
4,CSIRO - Image2Biomass Prediction,https://compsearch.dev/search?url=csiro-biomass
5,MITSUI&CO. Commodity Prediction Challenge,https://compsearch.dev/search?url=mitsui-commodity-prediction-challenge
6,NFL Big Data Bowl 2026 - Prediction,https://compsearch.dev/search?url=nfl-big-data-bowl-2026-prediction
7,MABe Challenge - Social Action Recognition in Mice,https://compsearch.dev/search?url=MABe-mouse-behavior-detection
8,ARC Prize 2025,https://compsearch.dev/search?url=arc-prize-2025
9,NeurIPS 2025 - Google Code Golf Championship,https://compsearch.dev/search?url=google-code-golf-2025
10,Jigsaw - Agile Community Rules Classification,https://compsearch.dev/search?url=jigsaw-agile-community-rules
11,MAP - Charting Student Math Misunderstandings,https://compsearch.dev/search?url=map-charting-student-math-misunderstandings
12,RSNA Intracranial Aneurysm Detection,https://compsearch.dev/search?url=rsna-intracranial-aneurysm-detection
13,NeurIPS - Ariel Data Challenge 2025,https://compsearch.dev/search?url=ariel-data-challenge-2025
14,Stanford RNA 3D Folding,https://compsearch.dev/search?url=stanford-rna-3d-folding
15,NeurIPS - Open Polymer Prediction 2025,https://compsearch.dev/search?url=neurips-open-polymer-prediction-2025
16,Make Data Count - Finding Data References,https://compsearch.dev/search?url=make-data-count-finding-data-references
17,CMI - Detect Behavior with Sensor Data,https://compsearch.dev/search?url=cmi-detect-behavior-with-sensor-data
18,Konwinski Prize,https://compsearch.dev/search?url=konwinski-prize
19,Jane Street Real-Time Market Data Forecasting,https://compsearch.dev/search?url=jane-street-real-time-market-data-forecasting
20,Yale/UNC-CH - Geophysical Waveform Inversion,https://compsearch.dev/search?url=waveform-inversion
21,BirdCLEF+ 2025,https://compsearch.dev/search?url=birdclef-2025
22,BYU - Locating Bacterial Flagellar Motors 2025,https://compsearch.dev/search?url=byu-locating-bacterial-flagellar-motors-2025
23,Image Matching Challenge 2025,https://compsearch.dev/search?url=image-matching-challenge-2025
24,Drawing with LLMs,https://compsearch.dev/search?url=drawing-with-llms
25,March Machine Learning Mania 2025,https://compsearch.dev/search?url=march-machine-learning-mania-2025
26,AI Mathematical Olympiad - Progress Prize 2,https://compsearch.dev/search?url=ai-mathematical-olympiad-progress-prize-2
27,NeurIPS 2024 - Lux AI Season 3,https://compsearch.dev/search?url=lux-ai-season-3
28,WSDM Cup - Multilingual Chatbot Arena,https://compsearch.dev/search?url=wsdm-cup-multilingual-chatbot-arena
29,FIDE & Google Efficient Chess AI Challenge,https://compsearch.dev/search?url=fide-google-efficiency-chess-ai-challenge
30,CIBMTR - Equity in post-HCT Survival Predictions,https://compsearch.dev/search?url=equity-post-HCT-survival-predictions
31,LLMs - You Can't Please Them All,https://compsearch.dev/search?url=llms-you-cant-please-them-all
32,CZII - CryoET Object Identification,https://compsearch.dev/search?url=czii-cryo-et-object-identification
33,Santa 2024 - The Perplexity Permutation Puzzle,https://compsearch.dev/search?url=santa-2024
34,Child Mind Institute — Problematic Internet Use,https://compsearch.dev/search?url=child-mind-institute-problematic-internet-use
35,Eedi - Mining Misconceptions in Mathematics,https://compsearch.dev/search?url=eedi-mining-misconceptions-in-mathematics
36,UM - Game-Playing Strength of MCTS Variants,https://compsearch.dev/search?url=um-game-playing-strength-of-mcts-variants
37,ARC Prize 2024,https://compsearch.dev/search?url=arc-prize-2024
38,NeurIPS - Ariel Data Challenge 2024,https://compsearch.dev/search?url=ariel-data-challenge-2024
39,RSNA 2024 Lumbar Spine Degenerative Classification,https://compsearch.dev/search?url=rsna-2024-lumbar-spine-degenerative-classification
40,ISIC 2024 - Skin Cancer Detection with 3D-TBP,https://compsearch.dev/search?url=isic-2024-challenge
41,LLM 20 Questions,https://compsearch.dev/search?url=llm-20-questions
42,LMSYS - Chatbot Arena Human Preference Predictions,https://compsearch.dev/search?url=lmsys-chatbot-arena
43,USPTO - Explainable AI for Patent Professionals,https://compsearch.dev/search?url=uspto-explainable-ai
44,LEAP - Atmospheric Physics using AI (ClimSim),https://compsearch.dev/search?url=leap-atmospheric-physics-ai-climsim
45,NeurIPS 2024 - Predict New Medicines with BELKA,https://compsearch.dev/search?url=leash-BELKA
46,Learning Agency Lab - Automated Essay Scoring 2.0,https://compsearch.dev/search?url=learning-agency-lab-automated-essay-scoring-2
47,AI Mathematical Olympiad - Progress Prize 1,https://compsearch.dev/search?url=ai-mathematical-olympiad-prize
48,BirdCLEF 2024,https://compsearch.dev/search?url=birdclef-2024
49,Image Matching Challenge 2024 - Hexathlon,https://compsearch.dev/search?url=image-matching-challenge-2024
50,Home Credit - Credit Risk Model Stability,https://compsearch.dev/search?url=home-credit-credit-risk-model-stability
51,Enefit - Predict Energy Behavior of Prosumers,https://compsearch.dev/search?url=predict-energy-behavior-of-prosumers
52,The Learning Agency Lab - PII Data Detection,https://compsearch.dev/search?url=pii-detection-removal-from-educational-data
53,LLM Prompt Recovery,https://compsearch.dev/search?url=llm-prompt-recovery
54,March Machine Learning Mania 2024,https://compsearch.dev/search?url=march-machine-learning-mania-2024
55,HMS - Harmful Brain Activity Classification,https://compsearch.dev/search?url=hms-harmful-brain-activity-classification
56,Optiver - Trading at the Close,https://compsearch.dev/search?url=optiver-trading-at-the-close
57,SenNet + HOA - Hacking the Human Vasculature in 3D,https://compsearch.dev/search?url=blood-vessel-segmentation
58,Santa 2023 - The Polytope Permutation Puzzle,https://compsearch.dev/search?url=santa-2023
59,LLM - Detect AI Generated Text,https://compsearch.dev/search?url=llm-detect-ai-generated-text
60,Linking Writing Processes to Writing Quality,https://compsearch.dev/search?url=linking-writing-processes-to-writing-quality
61,UBC Ovarian Cancer Subtype Classification and Outlier Detection (UBC-OCEAN),https://compsearch.dev/search?url=UBC-OCEAN
62,CAFA 5 Protein Function Prediction,https://compsearch.dev/search?url=cafa-5-protein-function-prediction
63,Stanford Ribonanza RNA Folding,https://compsearch.dev/search?url=stanford-ribonanza-rna-folding
64,Child Mind Institute - Detect Sleep States,https://compsearch.dev/search?url=child-mind-institute-detect-sleep-states
65,Open Problems – Single-Cell Perturbations,https://compsearch.dev/search?url=open-problems-single-cell-perturbations
66,Google - Fast or Slow? Predict AI Model Runtime,https://compsearch.dev/search?url=predict-ai-model-runtime
67,AI Village Capture the Flag @ DEFCON31,https://compsearch.dev/search?url=ai-village-capture-the-flag-defcon31
68,Bengali.AI Speech Recognition,https://compsearch.dev/search?url=bengaliai-speech
69,RSNA 2023 Abdominal Trauma Detection,https://compsearch.dev/search?url=rsna-2023-abdominal-trauma-detection
70,CommonLit - Evaluate Student Summaries,https://compsearch.dev/search?url=commonlit-evaluate-student-summaries
71,Kaggle - LLM Science Exam,https://compsearch.dev/search?url=kaggle-llm-science-exam
72,Google - American Sign Language Fingerspelling Recognition,https://compsearch.dev/search?url=asl-fingerspelling
73,ICR - Identifying Age-Related Conditions,https://compsearch.dev/search?url=icr-identify-age-related-conditions
74,Google Research - Identify Contrails to Reduce Global Warming,https://compsearch.dev/search?url=google-research-identify-contrails-reduce-global-warming
75,HuBMAP - Hacking the Human Vasculature,https://compsearch.dev/search?url=hubmap-hacking-the-human-vasculature
76,Predict Student Performance from Game Play,https://compsearch.dev/search?url=predict-student-performance-from-game-play
77,Benetech - Making Graphs Accessible,https://compsearch.dev/search?url=benetech-making-graphs-accessible
78,GoDaddy - Microbusiness Density Forecasting,https://compsearch.dev/search?url=godaddy-microbusiness-density-forecasting
79,Vesuvius Challenge - Ink Detection,https://compsearch.dev/search?url=vesuvius-challenge-ink-detection
80,Image Matching Challenge 2023,https://compsearch.dev/search?url=image-matching-challenge-2023
81,Parkinson's Freezing of Gait Prediction,https://compsearch.dev/search?url=tlvmc-parkinsons-freezing-gait-prediction
82,BirdCLEF 2023,https://compsearch.dev/search?url=birdclef-2023
83,AMP®-Parkinson's Disease Progression Prediction,https://compsearch.dev/search?url=amp-parkinsons-disease-progression-prediction
84,Stable Diffusion - Image to Prompts,https://compsearch.dev/search?url=stable-diffusion-image-to-prompts
85,Lux AI Season 2,https://compsearch.dev/search?url=lux-ai-season-2
86,Google - Isolated Sign Language Recognition,https://compsearch.dev/search?url=asl-signs
87,IceCube - Neutrinos in Deep Ice,https://compsearch.dev/search?url=icecube-neutrinos-in-deep-ice
88,March Machine Learning Mania 2023,https://compsearch.dev/search?url=march-machine-learning-mania-2023
89,Learning Equality - Curriculum Recommendations,https://compsearch.dev/search?url=learning-equality-curriculum-recommendations
90,1st and Future - Player Contact Detection,https://compsearch.dev/search?url=nfl-player-contact-detection
91,RSNA Screening Mammography Breast Cancer Detection,https://compsearch.dev/search?url=rsna-breast-cancer-detection
92,OTTO – Multi-Objective Recommender System,https://compsearch.dev/search?url=otto-recommender-system
93,Santa 2022 - The Christmas Card Conundrum,https://compsearch.dev/search?url=santa-2022
